#NAME	Angle	Arc Angle	Color Index	Diffraction Order
#VAR	\theta	\theta	C	m
#UNIT	deg	arc	none	none
180	19	0	0
194	41	1	1
195	32	2	1
197	26	3	1
203	45	4	1
210	7	1	2
212	7	2	2
216	31	3	2
223	41	1	3
233	30	4	2
234	54	2	3
242	25	3	3
166	8	1	-1
165	3	2	-1
162	41	3	-1
157	1	4	-1
150	53	1	-2
148	50	2	-2
144	38	3	-2
132	56	1	-3
128	38	4	-2
129	15	2	-3
119	36	3	-3
