# V(V) I(A) P(mVDC)
23.7	0.69	0.700
35.6	0.86	1.010
46.1	0.99	1.712
57.6	1.12	2.225
69.5	1.24	3.465
80.7	1.35	4.574
92.3	1.45	6.217
103.8	1.55	8.531
116.4	1.65	10.186
29.8	0.76	1.258
40.9	0.92	1.812
52.4	1.06	2.876
63.0	1.17	3.792
74.3	1.29	4.837
85.9	1.39	5.992
98.0	1.50	7.663
109.4	1.59	9.116
141.9	1.85	13.712
