# λ(nm) 1/T d(1/T) log(P) dlog(P)
1.200000000000000000e+03 4.745239809871871226e-04 3.456658817501856478e-05 1.752672080520008224e+00 1.733102253032929010e-04
1.200000000000000000e+03 4.446221274484015362e-04 2.928053001777235112e-05 2.111424587532886754e+00 1.210653753026634386e-04
1.200000000000000000e+03 4.203792010737960358e-04 2.563475085734149796e-05 2.397440624006724530e+00 9.095043201455207688e-05
1.200000000000000000e+03 3.995503166883060940e-04 2.268582590240230239e-05 2.642622395779754996e+00 7.117437722419928516e-05
1.200000000000000000e+03 3.825713430079400921e-04 2.032199285972706855e-05 2.849549763375909706e+00 5.787037037037036580e-05
1.200000000000000000e+03 3.686499189118093564e-04 1.839732027618873195e-05 3.033990985671081386e+00 4.812319538017324202e-05
1.600000000000000000e+03 6.608951231745046609e-04 7.884625500553214957e-05 1.552867560945706105e+00 2.116402116402116491e-04
1.600000000000000000e+03 5.739717179317563051e-04 5.558251986605466162e-05 2.379546134130174018e+00 9.259259259259258799e-05
1.600000000000000000e+03 5.126313089923786046e-04 4.262183254091059156e-05 2.925846146089824629e+00 5.361930294906166620e-05
1.600000000000000000e+03 4.717319662159222401e-04 3.466982550817698273e-05 3.308716528867990281e+00 3.656307129798903313e-05
1.600000000000000000e+03 4.416934119056979192e-04 2.932207255013464327e-05 3.596352896436196378e+00 2.742355683532154018e-05
1.600000000000000000e+03 4.195207896748759943e-04 2.539445234381161273e-05 3.830313910101601049e+00 2.170280183171647504e-05
1.600000000000000000e+03 4.007435862965649082e-04 2.259787193673067342e-05 4.018183201256536385e+00 1.798561151079136662e-05
1.600000000000000000e+03 3.827831559421219923e-04 2.020305032957283513e-05 4.188138441508461263e+00 1.517450682852807246e-05
1.800000000000000000e+03 6.631886799324309897e-04 7.912014085769089621e-05 1.564440546503364615e+00 2.092050209205020795e-04
1.800000000000000000e+03 5.672740905503627709e-04 5.493355527640500659e-05 2.242835088588271741e+00 1.061571125265392817e-04
1.800000000000000000e+03 5.150659220492430444e-04 4.239623596570609327e-05 2.633326654906273490e+00 7.183908045977011395e-05
1.800000000000000000e+03 4.745239809871871226e-04 3.456658817501856478e-05 2.896464271895322184e+00 5.521811154058531317e-05
1.800000000000000000e+03 4.435766359505642869e-04 2.921167463365267867e-05 3.091042453358316067e+00 4.545454545454545857e-05
1.800000000000000000e+03 4.203792010737960358e-04 2.563475085734149796e-05 3.224062351555500694e+00 3.979307600477516982e-05
1.800000000000000000e+03 3.991941125942550595e-04 2.266560430650507520e-05 3.338506042322235690e+00 3.548993860240621807e-05
1.800000000000000000e+03 3.819664854609257669e-04 2.028987145102916187e-05 3.434954478460289007e+00 3.222687721559780851e-05
1.800000000000000000e+03 3.678652897598213775e-04 1.835817788209390786e-05 3.513930651649394665e+00 2.977963073257891861e-05
2.400000000000000000e+03 6.658811130384720322e-04 8.181275988185128512e-05 1.299101149417513312e+00 2.727768685215494035e-04
2.400000000000000000e+03 5.714279451953692412e-04 5.469274626474848738e-05 1.876406943288339679e+00 1.531393568147013736e-04
2.400000000000000000e+03 5.141602172452089609e-04 4.232165813286687235e-05 2.215937286268373274e+00 1.090512540894220253e-04
2.400000000000000000e+03 4.745239809871871226e-04 3.456658817501856478e-05 2.455306180011709749e+00 8.583690987124462785e-05
2.400000000000000000e+03 4.430559294633279509e-04 2.917738131666400346e-05 2.636196097334226440e+00 7.163323782234956528e-05
2.400000000000000000e+03 4.190977336069149641e-04 2.555661042531992460e-05 2.766947842349695375e+00 6.285355122564424766e-05
2.400000000000000000e+03 3.995503166883060940e-04 2.268582590240230239e-05 2.876441852362666918e+00 5.633485437440144010e-05
2.400000000000000000e+03 3.819664854609257669e-04 2.028987145102916187e-05 2.973486664606671326e+00 5.112474437627812613e-05
2.400000000000000000e+03 3.676045680665828677e-04 1.834517140143921289e-05 3.056356895370425875e+00 4.705882352941176736e-05
